"","age_under 28","age_between 28 and 45","age_beyond 45","education_elementary","education_high","education_graduate","dwelling place_village","dwelling place_town","dwelling place_city","labour_unemployed","labour_small company","labour_huge company","labour_self-employment","gender_female","gender_male","autoritarian-right","autoritarian-left","libertarian-right","libertarian-left"
"28",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"29",0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"30",0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"31",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"32",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"33",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"34",1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
"35",0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
"36",0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
"37",1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"38",0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"39",0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"40",1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"41",0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"42",0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"43",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
"44",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
"45",0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
"46",1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"47",0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"48",0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
"49",1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"50",0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"51",0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"52",1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
"53",0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
"54",0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
"55",1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"56",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"57",0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"58",1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"59",0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"60",0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"61",1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"62",0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"63",0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"64",1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"65",0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"66",0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
"67",1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"68",0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"69",0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"70",1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
"71",0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"72",0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"73",1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"74",0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"75",0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"76",1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
"77",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"78",0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"79",1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
"80",0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
"81",0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
"82",1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"83",0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"84",0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"85",1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
"86",0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"87",0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"88",1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
"89",0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
"90",0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"91",1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"92",0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"93",0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"94",1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"95",0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"96",0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"97",1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
"98",0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
"99",0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
"100",1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"101",0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"102",0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"103",1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"104",0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"105",0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"106",1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
"107",0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
"108",0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
"109",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"110",0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
"111",0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
"112",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"113",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"114",0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
"115",1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
"116",0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
"117",0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
"118",1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"119",0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"120",0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"121",1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"122",0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"123",0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"124",1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
"125",0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
"126",0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
"127",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"128",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"129",0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"130",1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"131",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"132",0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"133",1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
"134",0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
"135",0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
"136",1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"137",0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"138",0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"139",1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"140",0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"141",0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"142",1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
"143",0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
"144",0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
"145",1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"146",0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"147",0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"148",1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"149",0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"150",0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"151",1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
"152",0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
"153",0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
"154",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"155",0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"156",0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"157",1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
"158",0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
"159",0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"160",1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
"161",0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
"162",0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"163",1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"164",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"165",0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"166",1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"167",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"168",0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"169",1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
"170",0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
"171",0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
"172",1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"173",0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"174",0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"175",1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"176",0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"177",0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"178",1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
"179",0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
"180",0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
"181",1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"182",0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"183",0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"184",1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"185",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"186",0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"187",1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"188",0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"189",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"190",1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"191",0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"192",0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"193",1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"194",0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"195",0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"196",1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
"197",0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
"198",0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
"199",1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"200",0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"201",0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"202",1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"203",0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"204",0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"205",1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"206",0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"207",0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
"208",1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"209",0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
"210",0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
"211",1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"212",0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"213",0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"214",1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
"215",0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
"216",0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
